Elapsed,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM
75,44.68623,21.99212,35.82209,43.83351,23.16748,30.41585,53.82061,20.38676,18.77272,29.68477,16.92115,17.43811,44.79105,58.88038,48.54425,27.45118,11.53494,5.207144,47.28792,47.44463,41.38541,23.27406,10.00053,2.954187,18.6883,21.20706,19.12286,14.18016,6.186336,4.637869,19.52971,20.82717,15.5815,7.941622,3.975121,2.648909,29.34442,28.2457,24.22827,16.62586,7.187654,6.675897,34.35163,32.88092,18.64905,8.498227,4.055739,2.982818,20.78662,9.385637,10.94057,26.98129,10.49351,10.07039,27.21236,8.343275,8.100926,18.57514,9.023693,5.518671,28.64797,31.25938,25.99145,14.92554,6.244264,4.10957,36.18348,37.82351,21.86719,15.61788,6.280047,1.912167,12.45938,14.86922,10.16042,5.861338,5.225019,3.409535,14.32595,13.13152,6.824499,5.376233,3.695742,2.434492,9.80479,12.58422,7.10934,6.214898,3.70334,3.638907,12.90985,11.82943,6.03922,4.513374,3.144429,2.422387
78,48.81821,22.46686,36.20026,49.31791,23.86995,31.60585,59.37179,20.54684,19.23321,33.34576,17.76241,18.15146,48.50765,63.21755,51.20682,28.78702,11.35461,5.09612,53.76596,51.33759,44.58739,24.83455,9.559558,2.877837,19.29588,21.4777,19.24279,13.99204,5.971868,4.467124,20.11053,21.04055,15.18145,8.051741,3.864661,2.54164,30.53576,27.08251,23.45053,16.8471,7.093138,6.697783,35.04362,32.70546,18.85611,8.667504,3.990641,2.805363,23.28303,9.386216,11.08926,29.89365,10.66807,10.16006,30.50921,8.253865,8.265697,21.32059,9.456522,5.587611,31.69035,35.10962,27.21025,15.87016,6.231612,3.560202,40.26825,40.37231,24.19318,15.9487,5.820876,1.888573,12.68649,15.17313,10.63094,5.791987,4.95812,3.115064,14.38799,13.17275,6.810345,5.145596,3.561875,2.386893,10.17399,12.71942,7.466111,6.112547,3.596277,3.37305,13.16526,11.83602,6.042822,4.231332,2.939931,2.403709
81,52.88396,22.98652,38.0347,55.66719,25.26656,32.15868,66.27184,21.40242,19.97343,38.15506,18.61473,19.09645,53.97076,68.81727,55.46076,31.59019,12.00491,5.103443,59.2665,56.6688,48.72341,26.25135,10.30174,2.880791,19.74034,22.79398,20.14022,14.49717,6.304035,4.520067,20.46723,22.42302,16.1368,8.351368,4.025691,2.701544,31.12762,29.10858,25.277,17.39223,7.453801,6.7307,37.02661,34.31184,19.58931,8.994276,3.983675,2.778849,25.4827,9.608349,11.39734,33.36826,11.07446,10.79271,34.24456,8.584068,8.594109,25.71758,9.969081,5.765508,35.47559,38.73116,30.08809,16.55127,6.785129,3.498655,44.41599,44.69759,26.42873,17.30313,6.187411,1.847667,13.53447,15.45147,10.78429,5.712088,5.249057,3.190286,15.21582,13.92114,7.120471,5.136172,3.449468,2.37291,10.4744,13.01124,7.489124,6.251314,3.667863,3.49367,13.56753,12.50401,6.263197,4.493126,2.835821,2.531857
84,57.04585,23.24647,38.99697,61.31493,26.01912,34.15139,72.36509,22.15518,20.75699,43.42057,19.36687,19.822,58.17732,74.26811,58.76713,32.59802,12.08088,5.114866,65.21139,61.58717,52.26943,27.69171,10.27296,2.728809,20.89408,22.5632,20.61443,15.07905,5.976733,4.323662,20.90248,22.55118,16.31499,8.499184,3.779075,2.459998,32.66132,29.37782,25.14334,17.06333,7.020869,6.397116,37.20452,35.98675,19.50491,8.936742,4.207242,2.643616,28.32555,9.876392,11.53979,37.8951,11.22588,11.0294,38.19942,8.662144,8.593271,29.32121,9.915661,5.863233,39.32728,42.68776,32.63391,17.71536,6.342791,3.777965,49.36808,48.28511,28.84373,18.13457,6.045707,1.839147,13.68579,16.32707,11.08414,5.671796,5.075632,3.092152,15.64426,14.16656,7.10077,5.397471,3.590062,2.383052,10.7295,13.6182,7.694355,6.086818,3.650739,3.172992,14.28793,12.55185,6.373112,4.364961,2.826722,2.344825
87,62.57799,23.9289,40.84182,67.82169,27.84572,36.20075,77.61493,22.50747,21.5956,48.89622,19.67915,21.27168,61.42436,78.46095,62.74011,34.99484,12.3445,5.007136,70.28554,66.2725,56.61547,29.96852,10.56347,2.823751,22.04976,23.14876,20.71554,15.54006,6.288191,4.472024,21.91038,23.89884,16.96171,8.776923,3.768268,2.544304,34.69414,30.78292,25.95134,17.56261,7.16703,6.486663,39.79318,37.6095,20.66647,9.085001,4.053639,2.586559,30.93962,10.15919,11.86085,43.02231,11.64192,11.61273,42.04972,8.90555,8.751809,33.40905,10.29345,5.97325,43.66957,46.53446,35.29438,18.68096,6.393206,4.01992,54.79762,53.16042,31.47453,19.17813,6.537249,1.7734,14.41727,17.19281,11.36369,6.020541,5.017977,3.019558,16.1153,14.52141,7.399253,5.567533,3.548746,2.34293,11.13611,14.36947,8.137002,6.296369,3.688094,3.283538,14.88464,13.17548,6.43652,4.594624,2.793856,2.352252
90,67.72556,24.17786,42.94295,72.61855,28.51274,37.93911,83.19768,23.52298,22.57901,54.88916,20.90991,22.46063,65.98428,82.2662,67.18779,37.08834,12.44926,4.930872,74.50603,70.37343,60.81683,31.86578,10.80991,3.249904,22.9597,24.31656,21.70704,16.02763,6.228266,4.434601,23.01343,25.03266,17.75513,9.171748,3.887965,2.683566,36.37118,31.77055,27.43463,18.4081,7.398673,6.552904,41.91642,39.24503,21.69869,9.41058,3.847639,2.761589,34.33022,10.38745,12.31812,46.50696,12.18357,11.94097,46.60272,8.950401,9.056302,37.10985,10.86299,6.365856,48.06149,51.84454,38.53392,19.62139,6.778265,3.760448,59.90042,57.78259,34.1234,20.85316,6.424585,1.860676,15.08615,17.9526,11.92268,6.188913,5.074898,3.036699,17.03734,15.3567,7.766881,5.539738,3.767721,2.389232,11.15339,14.91011,8.306585,6.385233,3.653146,3.42169,15.26024,13.61751,6.682402,4.602682,2.841882,2.409361
93,71.94402,25.09055,44.42639,79.04524,29.94069,39.0642,87.69218,24.37247,23.90321,60.3756,21.72087,24.0592,70.18852,86.00845,71.54684,39.7861,13.2832,4.871168,79.41309,74.95846,64.7508,34.45026,11.30893,3.4473,23.85643,25.92087,21.53385,16.88705,6.679927,4.423538,23.74264,25.53578,18.27396,9.559813,3.882348,2.73837,38.9542,33.48023,27.87219,19.58204,7.30327,6.597054,43.18815,40.40826,22.11339,9.613745,4.062721,2.670984,37.71496,10.57629,12.77154,51.20336,12.49027,12.46408,50.45751,9.324174,9.342407,41.6099,11.33762,6.65372,51.80628,56.37476,42.33435,21.11318,6.834554,3.689733,65.01369,62.20107,37.33763,21.80335,6.995328,1.858217,15.87452,19.4389,12.56943,6.38257,5.320558,3.007437,18.0305,16.2619,7.950772,5.718524,3.613452,2.513675,12.00086,15.33167,8.810454,6.370977,3.760465,3.485081,15.80187,14.31238,6.96202,4.675805,2.763757,2.422711
96,76.3658,25.37413,46.51985,83.44742,31.77425,41.18237,89.79915,25.13691,24.6321,65.56061,22.40482,24.80627,73.32755,88.48817,74.97755,42.15841,13.5491,4.85862,83.31799,78.50951,68.18045,36.28256,12.01032,3.412762,24.93695,26.27051,22.66224,16.87384,6.680865,4.550473,24.51592,26.7896,18.52341,9.327538,3.951288,2.878042,40.25056,33.40103,28.8718,19.60518,7.308119,6.89424,45.05817,43.68022,24.11406,9.840881,4.061732,2.748631,41.24786,10.99102,12.99899,55.52901,12.67121,12.88863,54.59747,9.469924,9.88428,46.46093,12.06124,6.972946,55.63092,61.2987,45.70808,22.18779,7.343152,4.283114,70.06438,66.36545,40.01988,23.32953,6.786478,1.863271,16.26243,19.79135,12.63389,6.270691,5.313661,3.063231,18.83707,16.67277,8.456484,5.860792,3.706618,2.474101,12.64066,15.95167,8.830002,6.592889,3.759851,3.158975,16.65934,14.99182,6.939278,4.679646,2.928441,2.46821
99,79.8421,26.00516,48.2289,86.88821,32.01962,43.46292,91.62819,25.94908,25.18862,71.27185,23.33402,25.97342,76.78113,90.00469,78.35145,44.5081,14.28554,4.86533,85.54626,82.85733,71.61733,38.47982,12.42899,3.033729,25.5445,27.56592,23.90113,17.63723,6.166701,4.329722,24.89282,27.64351,19.17385,9.330713,4.02441,2.698693,40.51458,35.14882,29.9562,20.60222,7.88202,6.480447,46.99016,43.71887,24.83419,10.10308,4.02885,2.648942,44.14347,11.3265,13.85126,59.69102,12.87244,12.96776,58.53855,9.626822,10.44678,51.75556,12.59072,6.944128,59.92537,65.36908,49.1534,23.17717,6.720662,3.7444,74.59721,72.2338,44.27811,24.64218,6.726875,1.820555,17.38787,20.06003,13.09695,6.388921,5.359228,3.259995,19.70935,17.06423,8.597522,5.830248,3.763726,2.504524,12.78909,16.47235,8.860821,6.580033,3.672421,3.356984,17.00981,15.79503,7.011172,4.898963,2.864811,2.421943
102,83.04602,26.16276,49.26408,90.27956,32.52733,43.28585,94.18645,25.86144,25.85207,76.05302,23.12997,27.05056,79.40306,92.39095,81.17825,46.66475,15.00659,4.667405,88.90811,85.28407,75.71931,40.50099,12.72756,2.950704,26.14922,27.08232,23.9821,17.32709,6.263658,4.171203,25.24754,27.83222,18.44257,9.571746,3.794389,2.47492,42.21734,35.10255,29.28894,20.52092,7.064199,6.482224,47.57803,43.93317,23.83067,10.13969,3.817984,2.646706,48.62163,11.37304,14.00835,64.28128,12.88414,13.09036,62.08735,9.506869,10.61431,56.80766,12.55187,6.813982,62.89523,69.87822,51.44307,24.81045,6.867061,3.497357,78.0438,75.27897,46.65734,26.13804,6.428548,1.775995,17.61756,21.2993,13.1438,6.385523,5.138409,3.029136,19.81928,17.62109,8.642255,5.758235,3.493191,2.407585,12.79946,17.3251,9.002318,6.693995,3.54388,3.144275,17.34899,15.60694,7.163854,4.539444,2.62557,2.368898
105,85.1143,26.58049,52.29866,93.1582,33.61705,45.59165,95.81656,27.03793,27.54893,81.58659,23.93802,27.37074,82.31322,94.19095,84.36412,49.4931,16.25296,4.804585,91.5491,88.00027,79.62723,42.79343,13.56857,2.88803,26.90817,28.22611,24.64405,17.59325,6.28809,4.143886,26.02061,29.5467,19.18657,9.659876,3.884107,2.494298,45.97629,36.65647,30.97602,21.41192,7.187893,6.628451,49.996,45.18331,25.73331,10.18941,3.972066,2.733351,51.92848,11.52958,14.0198,68.5686,13.22967,13.64992,65.93805,9.822341,10.93199,61.62072,12.99731,7.021023,67.14707,74.25209,56.02201,27.45409,7.272111,3.991955,81.75355,79.19655,50.72276,28.06375,7.078473,1.834947,18.40593,21.69073,13.56235,6.54949,5.344135,3.146904,20.67617,18.0613,8.888084,5.860945,3.599213,2.393107,13.51632,18.26331,9.52671,6.955225,3.592964,3.176047,18.75053,16.6047,7.342692,4.711419,2.673391,2.320804
108,87.36061,26.94554,54.76466,95.33395,35.80239,47.00988,96.83508,28.41037,28.77571,85.65363,24.34119,28.2714,84.73261,95.87854,87.42699,52.27538,16.02361,4.744557,93.74754,89.93959,82.61051,45.99361,14.61176,2.85105,27.61976,29.32503,24.67789,18.4389,6.155058,4.129254,26.58061,30.4021,19.94811,10.00348,3.893497,2.23416,47.3829,37.64896,31.63509,21.23088,6.928489,6.547544,50.85395,47.57822,26.26395,10.53595,4.011743,2.771627,54.26971,11.873,14.02752,72.55984,13.22952,13.52752,69.16663,9.62387,11.48547,66.81307,13.68994,7.045044,70.55539,77.1571,59.48279,27.93766,7.27032,3.967575,84.12049,82.10985,54.82552,29.91605,7.131843,1.889358,18.68034,21.61653,13.56295,6.574024,5.11058,3.141953,21.11803,18.92148,9.440849,5.98783,3.470279,2.272044,13.59071,18.26941,9.704692,7.062442,3.501523,3.218593,18.64054,17.61301,7.443882,4.77534,2.564211,2.306958
111,89.10572,26.98582,55.83683,96.54756,38.14176,49.39859,97.442,28.88175,29.67975,88.86431,25.22668,30.4891,86.41746,96.77827,89.70856,54.68077,16.9765,4.611612,94.69436,91.80045,85.64172,48.43496,14.05135,2.625331,28.58735,29.79988,25.12019,18.58632,6.223929,4.053451,27.12949,31.45531,19.56753,10.06141,3.859317,2.334411,48.3153,37.79548,31.82984,21.63122,6.686977,6.431961,53.01317,49.85476,26.48967,10.54244,3.978279,2.641806,58.20829,12.35674,14.59396,76.06976,13.77581,14.05936,72.64857,10.09486,11.59717,71.57069,14.62655,7.611024,74.19853,80.98846,62.71354,29.7019,7.250686,3.612069,87.21285,85.02478,58.36961,31.30161,7.306549,1.734133,19.90581,22.71745,14.14467,6.897963,5.137214,3.067482,21.9436,19.52958,9.588409,5.984484,3.614271,2.198956,14.04423,18.80692,9.958274,7.165219,3.414571,3.121961,18.82425,17.60993,7.432494,4.845696,2.613978,2.195456
114,91.38569,27.36577,58.64619,97.97813,39.78069,51.00862,98.35178,29.27222,30.64815,91.904,25.85434,32.02384,88.28339,97.40625,91.31908,58.26197,17.32347,4.593001,95.85709,93.40832,87.21177,50.99517,14.4348,2.554308,29.74222,30.68964,25.44817,19.09074,6.217766,4.017103,27.86809,32.54135,19.92246,10.30514,3.988062,2.352679,49.19814,38.8958,33.00793,22.10427,6.749856,6.293296,54.674,51.71318,28.3661,10.19715,3.926497,2.665042,61.27846,12.48709,15.15038,79.49879,13.76728,14.73943,75.90033,10.57745,12.11181,75.5928,15.19922,7.761999,77.43716,84.08725,66.48335,31.99409,7.653433,3.790957,90.27759,89.22267,61.90923,32.989,7.315426,1.821391,20.13224,23.68051,14.57397,6.997719,5.279345,3.036153,22.71925,19.87099,9.591619,6.036675,3.493857,2.239111,14.40602,19.87077,10.51064,7.161412,3.481377,3.172804,19.96119,18.2672,7.657172,5.071297,2.649796,2.257549
117,92.52481,28.43443,60.23942,98.65523,39.88592,53.05246,98.85216,29.81158,31.93923,93.9043,26.68237,33.93417,90.60367,98.17642,93.40011,60.56512,17.43721,4.596365,96.97699,94.5953,89.89561,53.37454,13.94971,2.696695,30.59519,31.49803,26.58143,19.40196,6.349346,4.177946,28.89398,33.22987,21.04653,10.44758,3.87137,2.378408,50.48498,39.53755,34.49148,23.12317,7.162983,6.676443,56.80716,52.69645,28.01742,10.73469,4.04698,2.611451,64.65857,12.98282,15.2867,82.68609,14.35229,15.19581,79.41386,10.79713,12.36992,79.44063,16.14147,7.931428,80.40413,86.64846,70.62186,33.33914,7.180141,3.583916,92.38139,90.4759,65.9712,34.6531,6.983872,1.774834,21.55267,24.36964,14.98457,7.616607,5.169567,3.292381,23.90763,21.124,10.15814,6.208427,3.361611,2.214338,15.26854,19.85403,10.794,7.313906,3.577787,3.151155,20.74063,19.09434,8.165735,4.911119,2.671786,2.218965
120,94.50703,28.53206,61.73346,99.2868,42.18167,54.39669,99.2422,31.54368,33.01732,95.78149,27.62721,35.03212,91.61802,98.43866,94.19925,63.49984,17.94882,4.495193,97.88267,96.0897,91.29324,56.57578,15.13597,2.482773,31.5907,32.37808,26.95178,20.3539,6.381853,4.084336,29.67067,35.54877,21.64207,10.7448,3.917671,2.393397,50.6791,41.0911,35.48943,23.33979,6.759929,6.427625,59.17661,55.27294,28.97526,10.87155,4.06436,2.712931,67.63882,13.36586,16.28927,85.73961,14.63348,16.40545,82.75496,10.78021,12.88388,83.24302,16.60518,7.989851,82.62144,88.76508,73.98234,35.50728,7.546983,3.607545,94.20702,92.86325,69.93648,37.12421,7.092627,1.76109,21.44736,25.54501,15.87021,7.372893,5.170027,2.965387,24.92317,21.49195,10.65332,6.375826,3.450987,2.328624,15.53704,20.54653,10.97417,7.39676,3.48433,3.118478,21.30914,19.3246,8.5461,4.910642,2.599449,2.133977
