Module,KDeE,KDeEA,KDeUT,KIE,KIEA,KIUT,KOE,KOUT,M10E,M10EA,M10UT,M11E,M11EA,M11UT,M15E,M15EA,M15UT,M4E,M4EA,M4UT,M5E,M5EA,M5UT,M7E,M7EA,M7UT,WTE,WTEA,WTUT
P3_I10_M6,0.034491008,-0.147743186,0.31853168,0.036056825,0.018561227,-0.101362145,0.040644227,0.312650668,0.018585119,0.063563743,0.091741904,-0.015861437,-0.215268761,0.350774425,-0.064546157,-0.375464905,0.185528378,0.01025003,-0.151294002,0.307175353,-0.14722798,-0.335532736,0.209448936,-0.039994477,-0.014307702,0.088697104,-0.195055261,-0.238853678,-0.044188202
P3_I10_M7,-0.021162451,-0.022385668,-0.26182822,-0.133610726,-0.141030566,-0.271893169,-0.009498412,-0.270396426,0.151673138,0.121138362,-0.182166538,0.156942204,0.14775881,-0.19281553,0.209984431,0.066004404,-0.160837128,0.241563386,0.293376471,-0.098212442,0.390383474,0.335594175,-0.054888717,0.131362211,0.088298618,-0.155825284,-0.107524888,-0.160715195,-0.089288325
P2_I7_M24,-0.030409526,-0.033579923,-0.003853642,-0.034959307,-0.029507936,-0.016121532,-0.040100022,-0.01613405,-0.041356792,-0.029516284,-0.036714913,-0.034298848,-0.028003998,-0.025634087,0.978522219,-0.026508584,-0.03707923,-0.0286217,-0.060315648,-0.023318655,-0.065824627,-0.068009747,-0.042135471,-0.058073936,-0.062331895,-0.056676634,-0.001996982,-0.01260019,-0.03483806
P4_I7_M6,-0.104555324,-0.13602849,0.202595225,-0.121742431,-0.138031456,0.05354081,-0.151232735,0.10018486,-0.085045974,-0.108834724,0.195547165,-0.117808773,-0.131037211,0.135290245,-0.11718219,-0.097284585,0.150522604,-0.09652614,-0.147084024,0.253058033,-0.111742753,-0.148531811,0.177394144,-0.158708298,-0.094469648,0.219841918,-0.048151871,-0.051424378,0.677447813
P7_I5_M5,0.212338785,0.072769724,-0.125042245,0.248789628,0.088617448,-0.318212928,0.294684986,-0.166496867,0.109355955,0.161696983,-0.246255896,0.131639536,-0.020404146,-0.161415922,0.177378451,-0.223720458,-0.201606192,0.203344088,-0.053299065,-0.114319798,-0.005621473,-0.223561842,-0.189074528,0.183361014,0.089773573,-0.284724489,0.319926356,0.106010706,-0.065931387
P2_I7_M29,-0.024446901,-0.019160641,0.011089894,-0.016247163,-0.030239506,-0.036189207,-0.038901988,-0.007825442,-0.050202581,-0.04380333,-0.048813002,-0.025892528,-0.053959842,0.015575989,-0.056053135,-0.037925832,-0.039863169,-0.046524556,-0.06272582,0.976387607,-0.068245164,-0.047839481,-0.055924521,-0.048321214,-0.049519375,-0.037453985,-0.003242459,-0.005838637,-0.047894012
P6_I6_M2,0.289745574,0.290792024,-0.198848464,0.1734711,0.060171771,-0.229428942,0.431791781,-0.168499759,0.062421705,0.058943971,-0.236631684,0.06162593,0.08841345,-0.245450444,0.27450902,0.024996942,-0.203645632,0.071343302,0.013197824,-0.216864351,0.078623251,0.081530467,-0.211750773,0.072684912,0.117307229,-0.243258696,-0.005933509,-0.084591139,-0.206666859
P2_I7_M30,-0.028993959,-0.016233799,-0.025637282,-0.036214227,-0.038843321,-0.033327859,-0.041986444,-0.031420572,-0.044135466,-0.02067204,-0.02983078,0.001162065,-0.05501212,0.977348966,-0.057618049,-0.027105322,-0.029067786,-0.021860471,-0.063548269,-0.041845937,-0.070069128,-0.074754359,-0.05232807,-0.024046134,-0.054476774,-0.011953672,-0.011287078,0.006144818,-0.04238693
P2_I7_M20,-0.030454713,-0.033219084,-0.031531414,-0.033549709,0.979501524,-0.037829475,-0.018452598,-0.027322533,-0.022530833,-0.033442739,-0.034664732,-0.017010814,-0.051636489,-0.02944358,-0.038013323,-0.039986726,-0.043410699,-0.063367715,-0.065112493,-0.050221576,-0.046145811,-0.045749517,-0.04517491,-0.028623001,-0.044260829,-0.041377381,0.01019854,-0.019900752,-0.017266618
P9_I4_M2,0.160253598,0.257678519,-0.277336304,0.114844065,0.10275362,-0.206988736,0.095909301,-0.218980654,0.098674045,0.090747157,-0.245864633,0.03150064,-0.006511983,-0.274964882,0.11596566,0.230275815,-0.250563835,0.15216292,0.147727535,-0.252775267,0.124196087,0.153518453,-0.237764874,0.176792081,0.065025916,-0.311613817,0.206743515,0.124830748,-0.166234691
P15_I4_M1,-0.12695511,-0.172901589,0.180838923,-0.120239234,-0.163880266,-0.018246546,-0.122379935,0.15000747,-0.089530276,-0.012387681,0.204272298,-0.174344091,-0.142108462,0.281930585,-0.141212613,-0.158311523,0.231139528,-0.072620245,-0.084605856,0.524869904,-0.079714935,-0.091672736,0.350817477,-0.146655272,-0.120709836,0.18473495,-0.12069069,-0.13589948,0.186455239
P12_I3_M1,0.220149907,-0.002070569,-0.066953045,0.176895978,0.345148656,-0.264780693,0.325989519,-0.026379798,0.148004362,0.223371971,-0.191787664,0.098932738,-0.152764739,0.026072184,0.236895766,-0.318519078,-0.136110662,0.123503585,-0.074454918,0.005481301,0.110586867,-0.220096624,-0.051936325,0.147455674,0.142086231,-0.159781089,-0.190992736,-0.254539579,-0.219407221
P2_I7_M26,-0.019993841,-0.04132713,-0.012093105,-0.043640187,-0.043839131,-0.013483436,-0.047065618,-0.023355556,-0.0484026,-0.021063889,-0.034249462,0.004550863,-0.040457616,-0.004653829,-0.036649881,-0.038111057,-0.021552418,-0.063259592,-0.043592231,-0.033835552,-0.074636154,-0.059686955,0.977816725,-0.046821418,-0.056010224,-0.048661741,-0.020789636,-0.004894375,-0.040240957
