rank_test_score,param_MSclustering__SeqWeight,param_MSclustering__ncl,param_plsr__n_components,mean_test_score,std_test_score
652,5,9,5,-25.89146905,27.08958927
653,1,14,12,-25.92767292,25.67807013
654,0.1,8,5,-25.95801209,29.77890329
655,1,13,6,-26.02801339,29.49836104
656,50,4,4,-26.24993234,33.61201679
657,50,13,13,-26.5197887,26.15336439
658,7,4,4,-26.54342834,25.51233382
659,5,12,7,-26.54377965,18.22532098
660,7,14,8,-26.81217311,18.87302362
661,1,7,6,-26.84347919,26.12310387
662,3,14,5,-26.90527627,33.78745355
663,7,7,4,-27.02956928,37.17134538
664,50,11,8,-27.10524338,24.39278434
665,3,14,6,-27.13778782,21.98287922
666,0.1,6,5,-27.15408059,25.61428029
667,50,13,9,-27.29484743,29.91649654
668,50,11,9,-27.38923287,39.4786373
669,7,14,6,-27.46497369,52.9179773
670,0.1,14,7,-27.63805605,27.93301333
671,1,12,11,-27.77896141,28.62565285
672,1,13,5,-27.84221233,34.48599695
673,3,14,11,-28.12070344,23.66729735
674,1,14,13,-28.13599524,25.93761601
675,0.1,12,7,-28.15878547,42.81159009
676,0.1,10,9,-28.19651344,45.25373512
677,0.1,12,10,-28.29622471,55.80917811
678,7,12,9,-28.32798861,29.08755919
679,3,13,5,-28.46416903,24.74192063
680,5,8,7,-28.61140565,26.90570212
681,0.1,14,12,-28.72138773,32.5149593
682,7,12,8,-28.75947853,31.40923724
683,1,13,7,-28.86265006,46.27753244
684,3,12,6,-28.93331851,37.74993891
685,7,12,5,-29.01000508,57.25681244
686,7,6,5,-29.06964654,19.74964893
687,50,10,7,-29.28474569,41.63784945
688,50,14,9,-29.43700796,44.09948097
689,0.1,3,3,-29.45163959,41.32798572
690,5,14,13,-29.46673665,30.92851528
691,0.1,10,7,-29.83261629,21.66563211
692,50,9,5,-29.90896214,48.31152331
693,1,14,14,-30.0311439,48.84630033
694,1,12,10,-30.16269469,35.56598578
695,3,5,4,-30.31473409,54.7237409
696,3,11,11,-30.58562703,27.20389389
697,7,9,5,-30.70399202,33.97229994
698,0.1,14,8,-30.7230285,32.50126498
699,1,14,6,-30.91790298,39.4016502
700,1,14,10,-31.51172114,34.18465992
701,7,11,7,-31.90428972,52.61828479
702,3,4,3,-32.07145983,65.45638066
703,0.1,14,9,-32.26465348,41.32827218
704,0.1,14,4,-32.39194235,54.85035889
705,5,13,8,-32.52808104,41.91421876
706,7,8,7,-32.73365185,22.11008619
707,7,12,10,-33.05673607,20.16368936
708,5,11,5,-33.0746921,37.2898059
709,3,12,10,-33.14376701,33.89797265
710,1,10,7,-33.24652745,49.58001895
711,1,10,8,-33.40296475,27.19868092
712,3,13,9,-33.42136003,17.67619166
713,0.1,13,9,-33.42722294,36.17972623
714,7,5,4,-33.61864258,46.86423091
715,3,12,5,-33.68967904,36.38787461
716,50,8,5,-33.8116748,64.52573402
717,3,12,8,-33.9678798,33.65338707
718,5,10,8,-34.38080718,39.94343766
719,3,10,7,-34.39750015,27.09576257
720,3,11,9,-34.54903185,33.80612065
721,0.1,14,14,-34.56534973,25.157207
722,7,14,12,-34.96119504,41.68870451
723,3,5,5,-34.96195935,29.69534219
724,3,10,3,-35.09420254,58.31851924
725,50,6,5,-35.12055952,42.52944589
726,5,12,11,-35.15888951,40.40837796
727,5,9,7,-35.16692826,22.09248695
728,0.1,11,7,-35.43886365,43.27385357
729,1,9,6,-35.88151697,42.25005362
730,7,14,9,-36.05672354,44.45596761
731,3,8,7,-36.24008768,39.21402985
732,7,11,8,-36.33146006,49.27664031
733,1,10,6,-36.60462487,39.09624925
734,0.1,13,13,-36.88667941,36.39267315
735,50,7,7,-36.92541377,46.76365067
736,5,14,5,-37.27810793,38.01067708
737,0.1,6,6,-37.37735363,40.27123879
738,5,6,6,-37.60418696,24.49381359
739,0.1,14,11,-38.04991996,34.99113541
740,3,14,8,-38.12569086,63.01865782
741,1,6,6,-38.12586758,48.53646079
742,3,13,13,-38.61918855,21.6727959
743,0.1,12,8,-38.62672177,43.54546299
744,1,7,7,-38.67395929,35.0498736
745,7,11,10,-38.79293705,39.42669649
746,50,10,10,-38.86271382,38.45807173
747,7,12,7,-39.10460109,43.9373041
748,5,13,12,-39.30227108,46.05397149
749,7,13,10,-39.43019256,68.98917032
750,3,11,6,-39.6375842,49.39971377
751,7,11,11,-39.6383204,50.71416835
752,50,12,8,-39.68661684,47.05304311
753,7,12,12,-39.90041655,36.52104653
754,7,10,9,-40.18601246,52.44171008
755,50,11,6,-40.51684086,46.95836005
756,5,6,5,-40.72703334,54.60818968
757,3,7,6,-41.38243432,42.86521421
758,7,11,6,-41.46136118,55.79604656
759,50,12,12,-41.62469272,64.39147784
760,3,12,9,-41.82469884,61.37039884
761,5,11,9,-41.8989515,58.59852698
762,1,11,6,-42.31960208,76.55119765
763,0.1,14,13,-42.91808445,63.54266448
764,50,7,6,-42.96817798,53.45500435
765,50,11,7,-43.01378455,34.04238845
766,5,9,8,-43.27563829,57.55022409
767,0.1,11,10,-43.44561081,33.01029055
768,3,10,5,-43.49142093,42.22186761
769,7,13,11,-45.76708332,51.63097719
770,7,10,7,-45.85636473,42.35465285
771,50,14,14,-45.85819454,92.69381422
772,3,6,6,-46.34042076,73.33091287
773,1,10,10,-46.34556739,45.54480828
774,7,9,6,-46.70085707,65.04972655
775,7,14,14,-46.81051085,42.46839036
776,0.1,9,7,-47.10659757,49.77479209
777,1,11,9,-47.42188748,36.02951627
778,7,11,9,-47.96440123,56.37575541
779,5,11,11,-49.35446656,71.37730146
780,0.1,13,11,-49.65448446,57.68764648
781,1,9,8,-49.89418772,62.97894455
782,50,10,9,-50.41783798,55.73209305
783,0.1,11,9,-50.66755496,66.77201692
784,1,10,9,-51.26035279,61.84947377
785,1,8,7,-51.4441638,55.76516286
786,3,11,8,-51.58356693,48.6567074
787,1,11,10,-52.25066124,103.4238207
788,1,14,8,-53.41223496,76.54343753
789,1,12,8,-53.44806534,93.97702295
790,50,8,7,-53.9153778,57.42007812
791,3,9,7,-54.55627863,80.74796407
792,50,9,6,-54.60384994,52.12803126
793,1,13,12,-54.73665394,61.65141114
794,1,13,10,-57.40951303,153.8133178
795,1,11,11,-57.59256968,57.31580467
796,0.1,11,8,-58.28606024,58.00502045
797,5,12,9,-61.2623281,93.25968183
798,50,11,11,-63.3067614,146.3721691
799,0.1,13,12,-63.56809323,89.77216158
800,1,11,8,-64.2452,126.5767853
801,0.1,10,10,-64.84204001,133.825674
802,0.1,8,7,-65.06127601,73.83106333
803,7,10,6,-65.30308684,115.2459007
804,50,6,6,-65.45682573,114.2922943
805,3,12,12,-65.7417386,99.85779705
806,5,13,13,-67.57589139,78.78631033
807,0.1,12,9,-71.11510907,91.95095027
808,1,14,7,-71.31735909,110.2159795
809,50,9,7,-71.50912776,91.00622249
810,0.1,12,12,-71.53896477,114.9973389
811,3,11,10,-72.88191634,166.3144602
812,50,9,8,-73.63513099,75.17188782
813,5,11,8,-76.96208631,162.7324684
814,5,10,10,-77.44044637,117.6147032
815,7,7,7,-80.1841153,164.0604442
816,3,9,8,-87.69222568,117.6523656
817,7,6,6,-96.35365411,152.2151701
818,7,10,10,-97.7914119,213.9524592
819,3,7,7,-98.28643129,133.5052082
820,3,10,9,-100.6778668,134.8468465
821,5,10,9,-110.1044329,166.7743665
822,7,8,8,-112.6449205,159.3387733
823,1,12,12,-113.0450231,241.6059109
824,0.1,7,7,-118.6941523,207.9367299
825,0.1,9,9,-127.771798,223.0017059
826,5,7,7,-134.7094164,311.6038402
827,1,9,9,-158.1049565,271.4187433
828,0.1,10,8,-183.4275776,344.6561997
829,7,10,8,-188.8752835,446.3457528
830,5,9,9,-191.5321148,392.4244701
831,0.1,8,8,-205.6337512,405.9288507
832,7,9,9,-216.2792173,364.7749402
833,5,8,8,-234.8190152,201.6857668
834,3,8,8,-239.3319123,542.3771698
835,3,9,9,-261.9469953,467.8388762
836,0.1,9,8,-365.024869,639.1451257
837,7,9,8,-459.3505783,1245.866174
838,50,8,8,-482.3930401,1205.599404
839,50,9,9,-675.7964199,1803.438336
840,1,8,8,-2440.645316,5271.998184
