Elapsed,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM
75,46.0573,20.91189,30.97502,39.48748,22.67786,27.94457,33.30035,14.12127,22.93503,20.26217,18.36692,15.40066,40.56561,51.40357,42.60999,20.74097,11.20448,7.470345,47.2603,43.84127,34.27607,19.47296,10.85507,8.744501,15.6354,22.20938,16.54577,10.67012,6.603748,5.120465,18.36514,19.56227,12.85631,9.379302,5.40937,7.250499,30.44416,29.6666,18.10726,12.37931,6.950309,6.448983,26.01693,32.59423,10.705,13.48913,5.814456,5.764773,24.49807,10.89511,10.73083,21.12759,7.578142,8.93459,23.84362,9.637238,10.56581,15.94631,6.56909,6.055984,30.05951,29.33916,25.48244,18.83434,9.331412,7.331218,35.25626,32.92086,22.88963,18.06745,8.422066,5.990869,11.94476,15.16218,10.81347,7.099337,8.099936,7.649762,13.5099,11.69774,9.011622,8.044638,6.239789,6.442529,12.07047,6.8561,8.510434,6.356791,5.268538,6.921096,13.38418,11.3543,9.372099,7.825612,5.729042,6.448335
78,50.56464,21.41267,31.89552,44.18289,23.09309,28.43236,37.28064,14.43732,23.71541,23.26618,18.60708,15.81096,43.57336,56.33601,44.82341,21.50976,11.65543,7.311653,50.71012,48.0697,36.79932,20.1595,11.0279,8.121076,16.10442,23.57582,16.19912,10.696,6.422537,5.072133,18.69731,20.26056,13.25129,9.264504,5.417856,7.163939,31.19456,30.20034,18.42664,12.68971,6.84193,6.053185,27.07929,33.70547,10.833,13.48276,5.742921,6.25251,26.03288,10.7653,10.76896,22.71479,7.556288,8.855747,25.43369,9.734125,10.50341,17.25628,6.457741,6.107425,32.58379,31.58332,27.03176,19.28222,9.289295,7.276193,37.41809,34.89623,24.65066,18.3858,8.220419,5.909347,11.6068,15.40884,10.6985,7.313377,7.583349,7.875704,13.35231,12.09348,9.033785,7.899588,6.149202,6.209025,12.1377,7.168224,8.542975,6.317813,5.268384,6.970233,13.21859,11.39807,9.498726,7.856547,5.704268,6.474541
81,56.00397,21.5899,33.6233,49.15743,24.11233,30.16203,42.20879,14.97897,24.68141,25.96707,19.3979,16.18265,47.18771,59.7837,48.30942,22.8266,11.9257,8.087234,54.8083,51.21642,39.02414,20.17129,10.90105,6.947441,16.28636,23.87197,16.64093,11.11494,6.351053,4.956874,19.30833,20.73713,13.75376,9.540419,5.271713,6.936804,32.33076,31.10674,19.46968,13.05823,6.890963,5.889269,27.75607,34.75843,11.18575,13.80911,5.574293,6.326197,27.71561,10.85876,10.77193,24.06711,7.821002,8.878864,27.93425,9.59756,10.39078,18.36417,6.659114,5.84208,36.38895,33.47889,28.82403,20.92432,9.162563,7.113165,40.55643,37.62228,26.39261,19.01394,8.181425,6.154768,11.84123,16.00813,11.00308,7.388463,7.878554,7.781479,13.42031,12.25596,9.111294,8.092339,6.270367,6.306527,12.15899,7.166688,8.326136,6.32512,5.117512,7.141795,13.26001,11.72326,9.511719,7.817501,5.582283,6.049992
84,60.79897,22.11757,34.92976,53.77071,25.00005,31.06167,47.76805,15.20376,25.59473,30.04603,19.79232,17.59844,51.05332,64.84103,51.39672,24.21423,11.9933,7.696422,60.06253,54.80656,41.73243,22.11145,10.96174,6.523471,17.08317,24.28803,17.78247,11.36929,6.41378,4.788502,20.18869,22.13874,14.1271,10.08837,5.20506,6.896069,33.67028,33.45894,20.21203,13.4325,7.158596,5.713846,29.24733,36.53315,11.93757,14.46381,5.760763,6.399216,29.86285,10.81678,10.90825,26.55582,7.706325,8.783906,30.62818,9.588666,10.66923,20.39079,6.715147,5.98182,39.17895,36.12625,31.00924,20.85606,9.364568,7.277575,45.03727,40.78915,28.03907,19.9126,8.151224,6.295567,11.41538,15.92737,11.18987,7.371477,7.464181,7.784123,13.42318,11.98053,9.182112,8.256972,6.11323,6.159275,12.25949,7.397256,8.536317,6.250307,5.161542,6.965776,12.97278,11.93786,9.53999,7.751397,5.706914,5.96946
87,65.86147,22.73019,35.81109,59.36744,25.59032,32.73605,52.7636,15.64733,26.71082,33.63747,20.54392,18.54778,55.25222,69.14599,55.61035,26.22565,12.06625,7.129486,64.137,59.12388,44.30413,23.30541,10.845,6.631286,17.65019,24.87088,18.65026,11.543,6.592632,4.787068,20.60477,23.05783,14.35441,10.19403,5.36271,6.984572,33.93657,33.98046,20.09953,13.43601,7.082623,5.885342,30.062,37.06922,12.25043,14.36962,5.856165,6.44603,32.31065,10.78617,10.62427,29.31677,7.631289,9.011606,32.65804,9.572823,10.70901,22.23623,6.596099,6.174913,43.35486,39.70524,33.00456,21.49669,9.479092,7.153798,48.06535,44.31825,30.08418,20.63415,8.09304,6.21326,11.80323,16.01508,10.7811,7.243532,7.494844,7.960248,13.72781,12.11308,9.007935,7.884904,6.067424,6.339974,12.16107,7.564109,8.52312,6.375348,5.023321,6.862811,13.3618,11.6622,9.865482,7.819226,5.754002,6.588724
90,71.37198,23.82472,37.76975,65.44657,26.72146,34.83366,58.84929,16.60064,27.38672,40.20313,21.99733,19.18407,59.37743,74.12453,60.04002,28.36131,12.70298,7.643599,68.99463,64.03385,48.10577,25.39363,11.07717,6.734065,19.14407,26.88633,19.57924,11.96392,6.919149,5.29949,21.8815,24.66133,15.43259,10.97817,5.551092,7.233768,37.46429,36.58155,21.26079,14.31367,7.386909,6.077855,32.88632,39.70793,12.62922,15.89161,6.004562,6.548398,35.34511,11.48041,11.35279,32.7318,8.010202,9.289635,36.74055,9.944855,11.07989,25.30308,7.036696,6.610492,46.77744,43.24956,35.3118,23.46367,10.33806,8.017509,52.80322,47.34846,31.31833,22.09631,8.271894,6.55236,12.94654,16.59458,11.10345,7.725617,8.250826,8.788635,14.32793,13.14328,9.994964,8.980379,6.410074,7.015015,12.4851,7.693827,9.22744,6.33265,5.479744,7.097031,14.12495,12.31298,10.20479,7.811903,5.907912,6.239995
93,74.82587,24.65021,39.38827,69.9212,28.22233,36.33936,63.66592,17.00368,29.18233,42.70625,22.24386,19.78165,62.69824,77.17238,64.20775,29.80798,13.07219,7.702141,73.28091,66.78079,49.63447,26.70437,11.62657,6.999512,20.19007,27.3617,20.24615,12.12747,7.148625,5.542197,23.06403,25.13643,15.82605,11.18586,5.83421,8.228018,38.18756,38.79956,22.76544,14.99559,7.818133,6.232023,33.65595,40.90075,13.2491,15.91896,6.040039,6.909556,37.77844,11.20624,11.62041,35.50217,8.283469,9.615418,39.23465,10.12697,11.30503,27.86425,7.415097,6.899875,49.29537,46.07873,37.14074,24.48913,10.28536,8.260847,56.10497,50.95161,33.334,22.78643,8.661956,6.394367,12.90222,16.71811,11.97928,7.901125,8.310103,9.576221,14.27086,12.65176,10.39865,8.883509,6.494089,6.377584,13.27339,8.032089,9.561075,6.575766,5.153073,7.634704,14.40711,12.55566,10.46813,8.200598,5.88874,6.269855
96,78.7069,25.13952,40.55838,74.5204,28.83777,37.09174,68.39716,17.27114,29.90489,48.33519,22.74213,20.69453,66.28184,80.49193,67.98671,31.85946,13.23449,8.246797,76.37238,70.17705,52.72588,27.59984,12.74325,6.633898,20.81167,27.88337,20.59639,12.5001,6.997736,5.472113,24.07662,26.69888,15.92784,10.88763,5.581532,8.189687,39.09748,40.11721,22.97225,15.13585,7.650649,6.228266,34.94973,41.91888,13.60536,16.05508,6.559786,6.85564,40.58966,11.65937,11.47432,38.5127,8.297623,9.534459,41.66965,10.2343,10.98267,30.69312,7.391723,7.063108,52.86061,49.81609,39.56816,25.97424,10.40189,8.528618,59.78582,54.62887,35.45675,24.16113,8.714214,6.959237,13.24838,16.88289,11.52132,7.716722,9.046279,9.188257,14.60775,13.33696,10.32732,8.956717,6.573836,6.646412,13.39425,7.981383,9.340034,6.473943,5.277312,7.548435,14.59416,12.46782,10.47034,8.098554,5.759311,6.304836
99,82.65675,25.67639,41.5969,78.44812,29.25877,38.81566,71.83636,17.66506,30.78673,52.90599,23.17299,21.48337,69.3542,83.52178,70.7351,34.00804,13.56869,8.485781,79.89235,73.09409,55.4302,28.98415,12.2451,6.403125,21.12515,28.4664,20.88355,12.74015,7.317492,5.631845,24.40723,27.12276,16.34269,11.18739,5.709596,8.171833,39.64595,41.02378,23.20778,15.38448,7.637743,6.31001,36.49305,43.58181,14.12693,17.26861,5.96147,6.844831,43.1467,11.32517,11.37243,41.97636,8.606128,9.522987,44.59532,10.47783,11.34474,32.85061,7.686656,6.810072,56.43505,53.1681,41.51058,26.78484,10.81815,8.557316,64.17316,57.65255,37.36743,24.63152,9.524301,6.702035,13.3276,17.16872,11.79006,7.865784,8.227863,9.518326,15.0903,13.50734,10.12904,8.944286,6.706047,6.771897,13.17229,8.207427,9.209566,6.738263,5.173135,7.392168,14.88577,12.82805,10.40597,8.268274,5.92852,6.836261
102,84.91252,26.42365,43.22393,82.66897,31.44017,40.37852,76.75667,18.52513,32.2215,57.94002,23.68482,22.36615,72.0319,86.44126,74.61159,36.23515,14.10952,7.97592,82.56613,75.65102,58.25678,29.39762,12.49419,6.232398,21.27588,28.79859,21.95343,12.70334,7.154037,5.845615,25.66055,28.06167,16.38701,11.38909,6.055524,7.732224,41.68652,41.13577,23.4093,15.91017,7.608326,6.405721,38.61896,45.45797,14.75258,17.57085,6.470015,6.764846,45.20998,11.56204,11.47222,45.11752,8.094953,9.678501,48.11811,10.48772,11.34405,36.04317,7.881064,6.861752,60.24592,57.55155,43.83606,27.57198,10.83972,8.457508,68.14571,61.33114,40.07344,25.15562,8.792955,6.890573,13.27056,17.23102,11.13732,8.002502,8.678482,9.071821,14.94168,14.41621,10.71658,9.172039,6.307979,6.930367,13.12373,8.156466,9.45449,6.64747,5.241409,7.757508,14.66452,12.73583,10.68931,8.239763,5.940557,6.728002
105,87.96269,27.03738,44.22248,85.68325,31.80582,42.95077,79.44397,18.50591,32.94407,61.71984,24.63483,23.18011,74.25426,88.86828,78.60976,37.84159,14.45977,7.894943,85.16737,79.58385,60.13803,31.05356,12.3032,5.85229,21.76937,28.88791,23.16003,13.32859,7.00045,5.709561,26.05877,28.88284,17.12169,11.6577,5.943732,7.512856,44.10496,42.7842,25.21727,16.76384,7.596838,6.124651,39.93349,47.44329,15.29959,17.00808,6.618447,6.527022,49.35876,11.68498,11.26169,49.14826,8.213351,9.465161,52.424,10.67287,11.30503,39.70646,7.993796,6.863356,64.80504,61.43168,47.13781,28.69569,11.06454,8.567781,71.13049,65.22517,41.90445,25.57195,9.19355,6.358634,13.45473,17.35071,11.85607,7.898291,8.609166,10.04529,15.19401,13.92491,10.83076,9.111345,6.455471,6.768328,13.33136,8.291698,9.51561,6.73432,5.323699,7.375933,15.03474,12.74691,10.64499,8.448341,5.714034,6.979246
108,90.17526,27.98289,45.11992,88.72159,33.34534,44.83098,83.43665,19.04872,34.09642,67.34238,25.11485,23.69625,77.03071,90.48962,81.70425,40.19654,14.54073,7.680015,87.54904,80.77456,63.37225,32.45269,12.21649,5.889183,22.6813,29.67661,23.71906,13.41612,7.041066,5.633963,26.51115,29.08471,17.33045,11.86051,5.889541,7.550262,45.64421,44.3414,25.9054,16.65811,7.924395,6.352026,40.81838,48.46508,15.53281,17.76268,6.666849,6.884971,51.65938,11.51179,11.32111,52.96198,8.332911,9.527596,55.77989,10.62375,11.29309,42.95111,7.748136,6.910903,68.28433,64.71454,50.0385,30.17426,11.29833,8.323795,74.37601,68.77417,43.86898,27.76495,8.921102,6.147478,13.63194,17.7142,12.25028,7.990108,8.883645,10.19838,15.05685,14.37309,10.45409,9.444793,6.426174,6.647556,12.94823,8.524998,9.752,6.767099,5.267376,7.562314,14.64996,12.8926,10.92125,8.234915,5.739199,6.833957
111,91.20341,29.04396,46.85857,92.02998,34.4356,47.06899,87.27055,19.41379,35.16558,71.93107,25.65677,24.4627,79.05759,91.61166,84.2027,41.73109,15.02626,7.884701,89.56357,83.27435,65.47477,33.87055,12.43562,6.134281,23.52445,29.96892,25.01341,13.73161,6.884202,5.7988,26.86756,30.51233,17.81328,12.09502,5.823574,7.456993,46.83507,45.59961,26.81,17.09284,8.203243,6.149901,42.52531,49.57446,15.62686,17.84912,6.894752,6.678493,55.07482,11.51205,11.65717,57.17204,8.488718,9.597235,59.43682,10.65626,11.31476,46.56715,8.041872,6.966424,71.31001,68.62798,53.08718,31.03778,11.10046,8.560715,78.25861,72.78948,46.16052,28.55683,9.101989,6.270385,13.97664,18.14547,12.21213,8.171164,8.871677,9.086829,15.41886,14.84129,11.18074,9.062773,6.305452,6.667173,13.58564,8.545347,9.955269,7.003063,5.139672,7.426091,14.67454,13.22079,11.0922,8.300798,5.870984,6.806024
114,93.12011,29.74118,49.33548,94.2308,36.00254,49.64703,89.52874,19.98361,35.71339,76.47382,25.62864,25.0246,81.32425,92.70665,86.90815,44.02903,14.95202,7.573738,91.26593,84.74505,67.31077,35.8537,12.55742,5.808413,24.17528,31.53195,25.78308,13.94792,6.884799,5.578903,27.19964,30.88929,18.27976,12.21092,5.57957,7.191717,49.36238,47.03407,27.49233,17.95653,8.040133,6.074031,44.13761,51.51643,16.46534,18.42934,6.855025,6.49397,58.35836,11.88442,11.46283,61.19244,8.728403,9.345259,62.36255,10.29216,11.39974,50.87466,8.060039,6.980749,73.9742,73.01974,55.73005,32.36975,11.44291,9.061665,82.08127,76.4294,49.52291,29.64998,9.015772,6.458919,14.59864,18.29013,12.46043,8.040217,8.773817,10.08434,15.81567,14.95025,11.23407,9.74466,6.439764,6.738742,13.52081,8.289581,9.890615,6.792589,5.189661,7.759437,14.80604,13.45257,11.14729,8.433692,5.7294,6.795458
117,94.76266,30.52878,50.71568,95.58062,38.46744,51.68479,91.46016,20.73973,36.90348,79.70616,26.4325,25.85418,83.53887,94.21307,88.89339,46.64111,15.82897,7.388395,92.44559,86.96445,69.86865,37.69937,12.42577,5.96666,24.75693,32.57446,26.2717,14.39911,6.943087,5.479216,27.78351,32.1042,18.30718,12.65599,6.164892,7.288518,51.66061,48.96154,28.52744,17.76789,8.374057,6.446063,45.46,52.76235,16.43949,18.7576,6.934635,6.414684,61.8801,11.81588,11.7427,63.59284,8.658575,9.573299,66.0098,10.57006,11.52427,54.99042,8.082249,7.298353,77.02795,76.10028,58.89415,33.9875,11.81951,9.396015,84.63662,79.36234,52.19064,31.02192,9.191774,6.206157,14.24188,19.21192,12.70007,8.163924,9.06682,10.07075,16.29958,16.30581,11.33255,9.892903,6.646737,6.784583,13.57454,8.448921,9.608572,7.152483,5.127738,7.354351,15.265,13.69697,11.41762,8.488394,5.555958,6.944058
120,96.17616,32.03757,53.01918,96.78936,39.49874,53.57651,93.80634,21.70347,38.95224,83.1348,27.18019,25.9608,84.76582,95.44711,90.76038,49.00866,16.34957,7.227808,93.5202,88.16696,71.72752,38.86187,12.80354,5.932156,25.4872,33.10382,27.20778,14.90613,6.828459,5.269885,28.86679,33.02126,19.0836,12.98377,6.200762,7.137373,54.67614,50.64484,30.36555,18.89688,8.346126,6.201308,47.51577,55.06118,17.28138,19.60425,6.932245,6.338489,64.90984,12.26269,12.16747,67.72699,8.824539,9.766103,68.856,10.53858,11.52345,58.95673,8.033746,7.052472,80.02091,79.92175,62.05139,35.1568,12.05894,9.546956,86.9537,81.97694,55.35528,32.099,10.28334,6.244041,14.69832,19.53787,13.13541,8.293833,8.949461,9.633772,17.35312,15.49847,11.75424,10.02598,6.902758,6.727115,13.95474,9.061271,10.06059,7.096758,5.075973,7.892725,15.61127,14.3469,11.33791,8.507891,5.942007,6.686295
